BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
628,BRIDGEMAN DOWNS,GOLDBERG PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.3718424,152.9946226
629,BRIDGEMAN DOWNS,CLARRIE BECKINGHAM RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.368872,152.9860038
630,BRIDGEMAN DOWNS,TALLOWWOOD PLACE PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.3665584,152.9980478
631,BRIDGEMAN DOWNS,DARIEN STREET PARK (NO.29),TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.3582417,152.9900028
632,CHERMSIDE WEST,MELALEUCA GREEN PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER TAP,-27.3866355,153.0091789
633,CHERMSIDE WEST,RAVEN STREET RESERVE,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.3891422,153.005051
634,CHERMSIDE WEST,KENNA STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3790314,153.0083993
635,CHERMSIDE WEST,KENNA STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.3787455,153.0128652
636,CHERMSIDE WEST,KENNA STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.378488,153.0124288
637,CHERMSIDE WEST,KENNA STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.3782879,153.0125373
638,CHERMSIDE WEST,KENNA STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.3788941,153.0128403
639,CHERMSIDE WEST,MILNE HILL RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.379129,153.0018896
640,CHERMSIDE WEST,MARTINDALE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3775638,153.0031461
641,CHERMSIDE WEST,MARTINDALE STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.3751198,153.004933
642,CHERMSIDE WEST,HAMILTON ROAD QUARRY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3802555,153.0037967
643,CHERMSIDE WEST,HAMILTON ROAD QUARRY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3813809,153.0043564
644,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4044605,152.9802017
645,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4026517,152.9802151
646,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4026632,152.9807943
647,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4021199,152.9817534
648,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4051586,152.9823503
649,EVERTON PARK,TERALBA PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4081152,152.9830049
650,EVERTON PARK,TERALBA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4090112,152.9836004
651,EVERTON PARK,BROOK STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4100314,152.9873882
652,EVERTON PARK,SOAMES STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3911579,152.9821435
653,MCDOWALL,MALAGA STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3897484,152.9870285
654,MCDOWALL,BISSET PLACE PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.3848191,152.9915984
655,MCDOWALL,GUM NUT NOOK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.3834705,152.9846624
656,MCDOWALL,CHERMSIDE HILLS RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3778912,152.9930784
657,MCDOWALL,CHERMSIDE HILLS RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3801762,153.0004413
658,MCDOWALL,BECKETT ROAD PARK,TAP COMBINATION,BUBBLER  2 TAP  DOG BOWL,-27.3730411,152.9938086
659,MCDOWALL,SPEILBERG STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.3755391,152.9881464
660,MCDOWALL,STREISAND DRIVE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3735075,152.9812965
661,MCDOWALL,SUNSET PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3814654,152.983992
662,MCDOWALL,MCLEOD COURT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3892348,152.9958393
663,STAFFORD,KEONG PARK,TAP COMBINATION,BUBBLER & TAP,-27.4074518,153.0058111
664,STAFFORD,ROY HARVEY PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4105139,153.0068511
665,STAFFORD,SHAND STREET PARK (NO.100),TAP COMBINATION,BUBBLER & TAP,-27.4142357,153.0030843
