BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
798,SUNNYBANK,LES ATKINSON PARK,TAP COMBINATION,BUBBLER & TAP,-27.58278,153.0515524
799,SUNNYBANK,LES ATKINSON PARK,TAP COMBINATION,BUBBLER & TAP,-27.5831869,153.0518667
800,SUNNYBANK,LES ATKINSON PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5832761,153.0529027
801,SUNNYBANK,YUGARAPUL PARK,TAP COMBINATION,BUBBLER & TAP,-27.5775742,153.0752107
802,SUNNYBANK,YUGARAPUL PARK,TAP COMBINATION,BUBBLER & TAP,-27.575679,153.0754086
803,SUNNYBANK,YIMBUN PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.573817,153.0733832
804,SUNNYBANK,YIMBUN PARK,TAP COMBINATION,BUBBLER & TAP,-27.5737883,153.0734392
805,SUNNYBANK,YIMBUN PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5747404,153.0755606
806,SUNNYBANK,YIMBUN PARK,TAP COMBINATION,BUBBLER & TAP,-27.5740219,153.0756342
807,SUNNYBANK,COOLIBAH PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5744283,153.0650955
808,SUNNYBANK,GAGER STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5779682,153.0570948
809,ACACIA RIDGE,MORTIMER ROAD PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5779498,153.0168015
810,ACACIA RIDGE,MORTIMER ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.57706,153.0162681
811,ACACIA RIDGE,MORTIMER ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5767973,153.0170073
812,ACACIA RIDGE,GRENIER PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5795329,153.019193
813,ACACIA RIDGE,NORMA CROKER PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.586199,153.0145864
814,ACACIA RIDGE,C.A.O SULLIVAN PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.5856412,153.0260316
815,ACACIA RIDGE,C.A.O SULLIVAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.586743,153.024256
816,ACACIA RIDGE,C.A.O SULLIVAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.5868475,153.0250894
817,ACACIA RIDGE,MARNHAM STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.593169,153.0262582
818,ARCHERFIELD,KERRY ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.5694526,153.0204812
819,COOPERS PLAINS,BERYL ROBERTS PARK,TAP COMBINATION,BUBBLER & TAP,-27.56635,153.0417974
820,COOPERS PLAINS,BERYL ROBERTS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5657997,153.0435971
821,COOPERS PLAINS,THE VILLAGE AVENUE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5690101,153.042383
822,MOOROOKA,STIMPSON PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.52546,153.0228366
823,MOOROOKA,STIMPSON PARK,TAP COMBINATION,BUBBLER & TAP,-27.5255481,153.0226818
824,MOOROOKA,POINCIANA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5249766,153.0237617
825,MOOROOKA,MOOLABIN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5283836,153.02551
826,MOOROOKA,KOALA PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5304652,153.0284127
827,MOOROOKA,PEGG'S PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5320617,153.0309479
828,MOOROOKA,PEGG'S PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5323343,153.0315408
829,MOOROOKA,VETERANS PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5399566,153.0168655
830,MOOROOKA,TONKS STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5399426,153.019103
831,MOOROOKA,ALEXANDER PARK,TAP COMBINATION,BUBBLER & TAP,-27.5387935,153.0246575
832,MOOROOKA,LUXWORTH PLACE (ROAD RESERVE),BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.5319777,153.0240145
833,NATHAN,TOOHEY FOREST PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5370673,153.0420093
834,NATHAN,TOOHEY FOREST PARK,TAP COMBINATION,BUBBLER & TAP,-27.5372272,153.0532163
835,SALISBURY,SALISBURY RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5506854,153.0363002
836,SALISBURY,SALISBURY RECREATION RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.5462103,153.0374795
837,SALISBURY,SALISBURY RECREATION RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3303586,153.0363356
838,SALISBURY,SALISBURY RECREATION RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.5475491,153.0380476
839,SALISBURY,ROSEBANK SQUARE,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.5555209,153.0429715
840,SALISBURY,LILLIAN AVENUE PARK,TAP COMBINATION,BUBBLER & TAP (ANTIVANDAL),-27.5557331,153.0381435
841,SALISBURY,ASSEMBLY STREET PARK,TAP COMBINATION,TAP COMBINATION,-27.5479548,153.025403
842,TARRAGINDI,SHAFTESBURY STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5187647,153.0408672
843,TARRAGINDI,SHAFTESBURY STREET PARK,TAP COMBINATION,BUBBLER & TAP IN SMALL DOLA,-27.5192412,153.0415482
844,TARRAGINDI,SHAFTESBURY STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5196885,153.0416152
845,TARRAGINDI,MOORBELL STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5335751,153.0519575
846,TARRAGINDI,MONASH ROAD PARK (ROAD RESERVE),TAP COMBINATION,BUBBLER & TAP,-27.5343263,153.0570061
847,ALGESTER,TIMBERLAND PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.614151,153.034588
848,ALGESTER,COL BENNET PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6163797,153.0282511
849,ALGESTER,ENDIANDRA STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6169485,153.0292973
850,CALAMVALE,BEAUDESERT ROAD PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.6249968,153.0455083
851,CALAMVALE,BEAUDESERT ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.6261292,153.0454624
852,CALAMVALE,BEAUDESERT ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.6288548,153.0456854
853,CALAMVALE,HAMISH STREET PARK,TAP COMBINATION,BUBBLER,-27.6185704,153.0438398
854,CALAMVALE,CALAMVALE DISTRICT PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6221242,153.0378994
855,CALAMVALE,CALAMVALE DISTRICT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.622002,153.0373244
856,FOREST LAKE,THE LAKE PARKLANDS,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6204944,152.9630285
857,FOREST LAKE,THE LAKE PARKLANDS,TAP COMBINATION,BUBBLER & TAP,-27.6253088,152.9651438
858,FOREST LAKE,FOREST LAKE SPORTS FIELDS,TAP COMBINATION,BUBBLER & TAP,-27.6191817,152.9716851
859,FOREST LAKE,FOREST LAKE SPORTS FIELDS,TAP COMBINATION,BUBBLER & TAP,-27.6191771,152.9717226
860,FOREST LAKE,PRINCETON PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6266601,152.9741294
861,FOREST LAKE,WOOGAROO RESERVE,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6306707,152.9771414
862,FOREST LAKE,CLAREMONT PARADE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6314038,152.9733875
863,FOREST LAKE,CENTRAL STREET PARK,TAP COMBINATION,DRINKING FOUNTAIN & 2 TAPS,-27.6315926,152.9608321
864,FOREST LAKE,SANCTUARY DRIVE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6356538,152.9835292
865,FOREST LAKE,EUNGELLA TERRACE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6337546,152.9789138
866,HEATHWOOD,BRUSH BOX PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6321774,152.9938669
867,HEATHWOOD,HEATHWOOD PARK,TAP COMBINATION,BUBBLER & TAP,-27.6373159,152.9869941
868,WILLAWONG,BROOKBENT ROAD PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6092002,153.0123029
869,PARKINSON,SPRINGFIELD CRESCENT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6326322,153.0316831
870,PARKINSON,BILLABONG PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6304856,153.0345022
871,PARKINSON,BILLABONG PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6289622,153.0319897
872,PARKINSON,LAKEWOOD AVENUE PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6345915,153.0392037
873,PARKINSON,GREENWAYS ESPLANADE PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.6358849,153.0198311
874,PARKINSON,GREENWAYS ESPLANADE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6368043,153.0203111
875,PARKINSON,PARKINSON RECREATIONAL RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.6290979,153.0236026
876,PARKINSON,ALGESTER ROAD PARK (NO.515),TAP COMBINATION,BUBBLER & TAP,-27.6365268,153.028779
877,PARKINSON,ALGESTER ROAD PARK (NO.515),TAP COMBINATION,BUBBLER & TAP,-27.6364408,153.0292469
878,PARKINSON,DAINTREE DRIVE PARK (NO.65),TAP COMBINATION,BUBBLER & TAP,-27.6412678,153.0307432
879,PARKINSON,TALISKER PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6396012,153.0249726
880,PARKINSON,WATHEROO PLACE PARK,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.64101,153.0182831
881,WILLAWONG,GARDENS DRIVE PARK (NO 15),TAP COMBINATION,BUBBLER & TAP,-27.6054579,153.0300846
882,ELLEN GROVE,CAROLE PARK COMMUNITY PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.615174,152.9391523
883,ELLEN GROVE,CAROLE PARK COMMUNITY PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.616431,152.9396082
884,ELLEN GROVE,CAROLE PARK COMMUNITY PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.6158743,152.9397188
885,ELLEN GROVE,MULLEY PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6109158,152.9331476
886,ELLEN GROVE,MULLEY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6108111,152.9334579
887,ELLEN GROVE,OSPYA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.610955,152.9372986
888,ELLEN GROVE,OSPYA PARK,TAP COMBINATION,2 TAP 1 FOUNTAIN,-27.6109433,152.9377344
889,ELLEN GROVE,JULIE ROAD PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.6140248,152.935293
890,ELLEN GROVE,JULIE ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.6140531,152.9352949
891,ELLEN GROVE,WARREN RITCHIE MEMORIAL COMPLEX PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6077669,152.9299064
892,DARRA,BALFOUR PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5694833,152.9556026
893,DARRA,DUCIE STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5734839,152.9492225
894,DARRA,DUCIE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5717465,152.949907
895,DARRA,SANANANDA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5734284,152.942809
896,DOOLANDELLA,WALLAROO WAY COMMUNITY PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.6067867,152.9828928
897,DURACK,DURELLA STREET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5977842,152.9783732
898,FOREST LAKE,JIMBOUR CLOSE PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.6072966,152.9572699
899,FOREST LAKE,ROXWELL STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6241994,152.9459081
900,FOREST LAKE,JUBILEE AVENUE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6270877,152.9463012
901,INALA,MCEWAN PARK,TAP COMBINATION,TAP COMBINATION,-27.590928,152.9612882
902,INALA,ELIZABETH BRUCE PLAYGROUND PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5836174,152.9716492
903,INALA,KEV HOOPER MEMORIAL PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5899086,152.9764036
904,INALA,D.J.SHERRINGTON PARK,TAP COMBINATION,BUBBLER & TAP,-27.5970515,152.9855776
905,INALA,D.J.SHERRINGTON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5974936,152.9861576
906,INALA,D.J.SHERRINGTON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5971255,152.986637
907,INALA,CORMORANT STREET PARK,TAP COMBINATION,TAP COMBINATION,-27.5969087,152.9711496
908,INALA,HOCK DAVIS PARK,TAP COMBINATION,TAP COMBINATION,-27.5944414,152.9648859
909,INALA,I. S. A.  MEMORIAL PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5959468,152.9714835
910,INALA,RICHLANDS DEPOT PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.599848,152.9593622
911,OXLEY,CAWONGA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5543545,152.975253
912,OXLEY,CAWONGA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5541825,152.9755584
913,OXLEY,NIXON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5523498,152.9782755
914,OXLEY,LAWSON STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5582234,152.9788012
915,OXLEY,LUCOCK PLACE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.5606362,152.9706858
916,OXLEY,CLIVEDEN AVENUE RESERVE,TAP COMBINATION,BUBBLER & TAP (ANTIVANDAL),-27.5511506,152.9915059
917,OXLEY,OXLEY PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5646679,152.9798882
918,OXLEY,RIKKI BAILEY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5616075,152.9670695
919,OXLEY,ENGLEFIELD ROAD PARK (NOS.35-47),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5569411,152.9749434
920,OXLEY,WESTON PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.574401,152.9842719
921,RICHLANDS,C.J.GREENFIELD COMPLEX PARK,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5795055,152.9658865
922,RICHLANDS,C.J.GREENFIELD COMPLEX PARK,TAP COMBINATION,BUBBLER & TAP,-27.5799426,152.9644883
923,RICHLANDS,C.J.GREENFIELD COMPLEX PARK,TAP COMBINATION,BUBBLER & TAP,-27.5791286,152.9651195
924,RICHLANDS,C.J.GREENFIELD COMPLEX PARK,TAP COMBINATION,BUBBLER & TAP,-27.5787074,152.9667798
925,RICHLANDS,C.J.GREENFIELD COMPLEX PARK,TAP COMBINATION,BUBBLER & TAP,-27.5785771,152.9672471
926,WACOL,M. Z. HOLLAND MEMORIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.5924749,152.9216435
927,ANNERLEY,HEFFERAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5006355,153.0294901
928,ANNERLEY,CLIFTON HILL PEACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5229638,153.0304717
929,ANNERLEY,CLIFTON HILL PEACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5235114,153.0311505
930,CHELMER,GORDON THOMSON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5103582,152.9758738
931,CHELMER,QUEENSCROFT STREET PARK (NO 112),TAP COMBINATION,TAP COMBINATION,-27.510933,152.9786508
932,CHELMER,QUEENSCROFT STREET PARK (NO 112),TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5109315,152.9790336
933,CHELMER,TAYLOR BRIDGE RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5061653,152.9728319
934,CORINDA,GEORGE SCARLETT PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5483179,152.9845932
935,CORINDA,GEORGE SCARLETT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5498028,152.9848203
936,CORINDA,NOSWORTHY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5392894,152.9873999
937,CORINDA,DUNLOP PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5479587,152.9807733
938,CORINDA,DUNLOP PARK,TAP COMBINATION,BUBBLER & TAP,-27.5463483,152.9808141
939,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5488021,152.9920482
940,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5489249,152.9920507
941,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5488117,152.9922614
942,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.548897,152.9924402
943,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5491843,152.9925122
944,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5491992,152.9926492
945,CORINDA,ARCHER PARADE PARK,TAP COMBINATION,TAP COMBINATION,-27.5492111,152.9927796
946,FAIRFIELD,J.F. O'GRADY MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5075801,153.0241664
947,FAIRFIELD,ROBINSON PARK (FAIRFIELD),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5082421,153.023269
948,FAIRFIELD,ROBINSON PARK (FAIRFIELD),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5095284,153.0233949
949,FAIRFIELD,ROBINSON PARK (FAIRFIELD),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5081847,153.0241937
950,FAIRFIELD,PRINCESS STREET PARK (NOS.5-21),TAP COMBINATION,BUBBLER & 2 TAPS,-27.5009577,153.0230962
951,FAIRFIELD,FAIRFIELD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5034319,153.0263583
952,FAIRFIELD,NORM ROSE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5073944,153.025772
953,GRACEVILLE,GIRAWEEN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5219478,152.9880063
954,GRACEVILLE,FAULKNER PARK,TAP COMBINATION,BUBBLER & TAP,-27.5180666,152.9843078
955,GRACEVILLE,FAULKNER PARK,TAP COMBINATION,BUBBLER & TAP,-27.5176697,152.985581
956,GRACEVILLE,FAULKNER PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5186201,152.9859398
957,GRACEVILLE,FAULKNER PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5188063,152.9860636
958,GRACEVILLE,FAULKNER PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5182475,152.9861993
959,GRACEVILLE,GRACEVILLE MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.517363,152.9777687
960,GRACEVILLE,GRACEVILLE MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5184892,152.9781295
961,GRACEVILLE,CHELMER CHILDRENS PLAYGROUND PARK,TAP COMBINATION,TAP COMBINATION,-27.5172356,152.9801348
962,GRACEVILLE,GRACEVILLE AVENUE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5247716,152.9918338
963,GRACEVILLE,GRACEVILLE RIVERSIDE PARKLANDS,TAP COMBINATION,BUBBLER & TAP,-27.5234184,152.9927186
964,GRACEVILLE,GRACEVILLE RIVERSIDE PARKLANDS,TAP COMBINATION,BUBBLER & TAP,-27.5237828,152.9938773
965,SHERWOOD,STRICKLAND TERRACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5287319,152.9897078
966,SHERWOOD,STRICKLAND TERRACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5265284,152.9898404
967,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5325097,152.972189
968,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5315464,152.9724999
969,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5306552,152.9725772
970,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5325271,152.9727721
971,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5311569,152.9727724
972,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & TAP,-27.530086,152.9729713
973,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5318793,152.9733595
974,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & TAP,-27.5321031,152.9734182
975,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & TAP,-27.5291551,152.9734742
976,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER,-27.5328061,152.9736788
977,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & TAP,-27.5292529,152.9737522
978,SHERWOOD,SHERWOOD ARBORETUM,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5324682,152.9773729
979,YEERONGPILLY,MOOROOKA LIONS BICENT. PICNIC GRND PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5263072,153.0209274
980,YERONGA,BRISBANE CORSO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5060704,153.0091867
981,YERONGA,BRISBANE CORSO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5057386,153.0121148
982,YERONGA,BRISBANE CORSO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5056815,153.0132646
983,YERONGA,BRISBANE CORSO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5056842,153.013766
984,YERONGA,BRISBANE CORSO PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5053956,153.0180742
985,YERONGA,LEYSHON PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.506948,153.0151569
986,YERONGA,LEYSHON PARK,TAP COMBINATION,BUBBLER & TAP,-27.5091101,153.0162043
987,YERONGA,LEYSHON PARK,TAP COMBINATION,BUBBLER & TAP,-27.5090989,153.0163432
988,YERONGA,LEYSHON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5075538,153.0177637
989,YERONGA,FEHLBERG PARK,TAP COMBINATION,BUBBLER & TAP,-27.5115161,153.0187143
990,YERONGA,FEHLBERG PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5111574,153.0192053
991,YERONGA,HYDE ROAD PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5120904,153.0153096
992,YERONGA,HYDE ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5124059,153.01576
993,YERONGA,ROWLINSON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5201316,153.013994
994,YERONGA,YERONGA MEMORIAL PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5180681,153.0217147
995,YERONGA,YERONGA MEMORIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.5182051,153.0213955
996,YERONGA,YERONGA MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5183825,153.0222311
997,YERONGA,YERONGA MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5189074,153.0223633
998,YERONGA,YERONGA MEMORIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.5204242,153.0224689
999,YERONGA,YERONGA MEMORIAL PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5212664,153.0226242
1000,YERONGA,ESPLANADE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5137091,152.9997267
1001,YERONGA,ORSOVA ROAD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5090019,153.0058042
1002,ALDERLEY,SEDGLEY PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.428972,153.0051469
1003,ALDERLEY,SEDGLEY PARK,TAP COMBINATION,BUBBLER & TAP,-27.4278493,153.0038491
1004,ALDERLEY,SEDGLEY PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4289525,153.0044324
1005,ALDERLEY,QUARRY PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4252963,152.9973456
1006,ENOGGERA,ENOGGERA MEMORIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.4133888,152.987335
1007,ENOGGERA,FERGUSON PARK (ENOGGERA),BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4205193,152.9862931
1008,ALDERLEY,WILLMINGTON PARK,TAP COMBINATION,BUBBLER & TAP,-27.4270555,152.9930426
1009,ENOGGERA,SHAND STREET PARK (NO.131),BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4123902,152.9975289
1010,FERNY GROVE,KEPERRA PICNIC GROUND PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4120381,152.9417616
1011,FERNY GROVE,KEPERRA PICNIC GROUND PARK,TAP COMBINATION,BUBBLER & TAP,-27.4094964,152.9370841
1012,FERNY GROVE,KEPERRA PICNIC GROUND PARK,TAP COMBINATION,BUBBLER & TAP,-27.4125869,152.942272
1013,FERNY GROVE,ARBOR STREET PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.405001,152.9390739
1014,FERNY GROVE,ARBOR STREET PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.405793,152.939241
1015,FERNY GROVE,ARBOR STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.405471,152.939311
1016,GAYTHORNE,BELLEVUE AVENUE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4104984,152.9846308
1017,GAYTHORNE,BELLEVUE AVENUE PARK,TAP COMBINATION,BUBBLER & TAP,-27.410528,152.9818616
1018,KEPERRA,SILVERTOP STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4111438,152.9549368
1019,KEPERRA,CAMOOLA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4102018,152.9444276
1020,KEPERRA,HEINER PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4049739,152.9654453
